id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MKRN1	4	0.078909	0.17961	0.957685	3566	2	0.10802	0.29361	0.48094	0.999997	8945	2	0.10802
P2RY11	4	0.078926	0.17964	0.957685	3567	3	-1.5361	0.67335	0.76948	0.999997	14312	1	-1.5361
TACC2	4	0.078956	0.17969	0.957685	3568	2	-0.18186	0.34195	0.52105	0.999997	9698	2	-0.18186
PTHLH	4	0.079001	0.17979	0.957685	3569	3	-0.57336	0.32102	0.50357	0.999997	9367	1	-0.57336
ROBO3	4	0.079055	0.17989	0.957685	3570	2	-0.09684	0.79256	0.82422	0.999997	15373	1	-0.09684
SLC43A2	4	0.079075	0.17993	0.957685	3571	2	-0.22214	0.20017	0.38043	0.999997	7136	2	-0.22214
RPL7L1	4	0.079103	0.17998	0.957685	3572	1	0.28501	0.2206	0.4101	0.999997	7691	3	0.28501
TAS2R46	4	0.07912	0.18001	0.957685	3573	3	-0.83301	0.97458	0.97453	0.999997	18471	0	-0.83301
ARMCX2	4	0.079124	0.18002	0.957685	3574	3	-0.87798	0.88295	0.88462	0.999997	16581	1	-0.87798
CCDC102A	4	0.079152	0.18007	0.957685	3575	2	-0.091793	0.14168	0.29169	0.999997	5538	2	-0.091793
EI24	4	0.079153	0.18007	0.957685	3576	3	-1.1132	0.65346	0.76187	0.999997	14161	1	-1.1132
CXXC5	4	0.07925	0.18025	0.957685	3577	2	0.076342	0.1567	0.31505	0.999997	5925	2	0.076342
STARD3NL	4	0.079284	0.1803	0.957685	3578	2	0.042793	0.035266	0.10621	0.946517	2139	2	0.042793
CTNNBIP1	4	0.079298	0.18032	0.957685	3579	2	-0.46657	0.17315	0.34012	0.999997	6404	1	-0.46657
MT3	4	0.079313	0.18036	0.957685	3580	3	-0.91925	0.54564	0.69269	0.999997	12852	1	-0.91925
LGALS7B	4	0.079328	0.18038	0.957685	3581	2	-0.22186	0.53499	0.68344	0.999997	12681	2	-0.22186
NPIPA8	4	0.079352	0.18043	0.957685	3582	3	-0.72756	0.50176	0.65513	0.999997	12168	1	-0.72756
RIMBP3C	4	0.07938	0.18048	0.957685	3583	3	-0.50919	0.024457	0.076661	0.912485	1592	1	-0.50919
PSMD2	4	0.079388	0.1805	0.957685	3584	2	-0.85993	0.73668	0.79615	0.999997	14812	1	-0.85993
SHMT2	4	0.079418	0.18054	0.957685	3585	3	-0.61086	0.31831	0.50138	0.999997	9334	1	-0.61086
SCGB3A2	4	0.079448	0.1806	0.957685	3586	3	-0.56804	0.89204	0.8926	0.999997	16752	1	-0.56804
MYBBP1A	4	0.079494	0.18069	0.957685	3587	3	-0.66779	0.55787	0.70328	0.999997	13062	1	-0.66779
HMCN2	4	0.079513	0.18073	0.957685	3588	3	-0.33669	0.81346	0.83611	0.999997	15614	1	-0.33669
C1QTNF9B-AS1	4	0.079537	0.18077	0.957685	3589	2	-0.070788	0.12023	0.25736	0.999997	4908	2	-0.070788
IL2RA	4	0.07959	0.18085	0.957685	3590	2	-0.083846	0.12914	0.27175	0.999997	5162	2	-0.083846
TSEN15	4	0.079597	0.18086	0.957685	3591	2	-0.5792	0.062715	0.16001	0.973576	3136	2	-0.5792
FAM19A1	4	0.079672	0.181	0.957685	3592	3	-0.5138	0.96619	0.96612	0.999997	18285	0	-0.5138
KLC3	4	0.079703	0.18106	0.957685	3593	3	-1.4443	0.73368	0.79479	0.999997	14782	1	-1.4443
MZF1	4	0.079736	0.18111	0.957685	3594	2	0.049867	0.4887	0.64423	0.999997	11960	2	0.049867
SLC30A8	4	0.079785	0.18119	0.957685	3595	2	-0.029942	0.1311	0.27488	0.999997	5218	2	-0.029942
ANXA8L1	4	0.079791	0.1812	0.957685	3596	2	-0.65388	0.58218	0.72424	0.999997	13486	1	-0.65388
SLC41A1	4	0.079827	0.18125	0.957685	3597	3	-0.36323	0.71079	0.78471	0.999997	14617	1	-0.36323
CDC25B	4	0.079846	0.18128	0.957685	3598	3	-0.80645	0.94059	0.9405	0.999997	17713	0	-0.80645
ATP5J2	4	0.079881	0.18133	0.957685	3599	3	-1.9216	0.74483	0.80001	0.999997	14887	1	-1.9216
SYT14	4	0.079911	0.18139	0.957685	3600	2	-0.28748	0.33712	0.51694	0.999997	9625	2	-0.28748
TUBA3D	4	0.079951	0.18145	0.957685	3601	3	-1.1864	0.63976	0.75692	0.999997	14068	1	-1.1864
PTPRH	4	0.07998	0.1815	0.957685	3602	2	-0.26648	0.51593	0.66714	0.999997	12377	2	-0.26648
TIGD3	4	0.07998	0.1815	0.957685	3603	3	-0.86022	0.82716	0.84435	0.999997	15780	1	-0.86022
COMTD1	4	0.08	0.18154	0.957685	3604	2	-0.35493	0.48473	0.64086	0.999997	11888	2	-0.35493
DNAJC5B	4	0.080027	0.18158	0.957685	3605	3	-0.76119	0.80636	0.83199	0.999997	15547	1	-0.76119
THEMIS	4	0.080028	0.18158	0.957685	3606	3	-0.89506	0.94911	0.94905	0.999997	17915	0	-0.89506
ICE2	4	0.080056	0.18164	0.957685	3607	3	-1.0425	0.38277	0.55515	0.999997	10337	1	-1.0425
KIAA1804	4	0.080066	0.18166	0.957685	3608	3	-0.70145	0.13384	0.2793	0.999997	5294	1	-0.70145
PRDM4	4	0.080075	0.18167	0.957685	3609	2	-0.46526	0.51881	0.6696	0.999997	12415	1	-0.46526
CHEK2	4	0.080077	0.18168	0.957685	3610	2	0.68839	0.06957	0.17218	0.97762	3354	2	0.68839
SNN	4	0.080105	0.18173	0.957685	3611	2	-0.46318	0.54292	0.69032	0.999997	12801	2	-0.46318
LEFTY2	4	0.08012	0.18175	0.957685	3612	3	-1.3031	0.66086	0.76467	0.999997	14221	1	-1.3031
SMPD3	4	0.080126	0.18176	0.957685	3613	2	-0.43503	0.93542	0.9353	0.999997	17604	0	-0.43503
SCRN1	4	0.080135	0.18178	0.957685	3614	3	-1.1728	0.84032	0.85276	0.999997	15943	1	-1.1728
THTPA	4	0.080142	0.1818	0.957685	3615	3	-0.45926	0.79923	0.82797	0.999997	15462	1	-0.45926
CDK15	4	0.08015	0.18181	0.957685	3616	2	-0.34968	0.31609	0.49955	0.999997	9296	2	-0.34968
NBPF7	4	0.080174	0.18186	0.957685	3617	2	-0.35658	0.71447	0.78626	0.999997	14642	1	-0.35658
RPS9	4	0.080209	0.18191	0.957685	3618	3	-1.3559	0.83791	0.85119	0.999997	15912	1	-1.3559
CDC6	4	0.080237	0.18196	0.957685	3619	3	-1.7762	0.27625	0.46675	0.999997	8703	1	-1.7762
PIGX	4	0.080272	0.18201	0.957685	3620	1	0.40752	0.15004	0.30471	0.999997	5766	3	0.40752
SYT1	4	0.080285	0.18204	0.957685	3621	3	-0.53612	0.90156	0.90135	0.999997	16924	1	-0.53612
SPDYC	4	0.080369	0.18219	0.957685	3622	2	-0.30454	0.56338	0.70802	0.999997	13151	1	-0.30454
CYB5B	4	0.08039	0.18223	0.957685	3623	3	-0.44995	0.93697	0.93691	0.999997	17638	0	-0.44995
FAM110B	4	0.080418	0.18228	0.957685	3624	2	-0.030441	0.47622	0.63375	0.999997	11744	1	-0.030441
FEM1C	4	0.080429	0.18229	0.957685	3625	3	-0.70703	0.6595	0.76418	0.999997	14210	1	-0.70703
FAM26F	4	0.080438	0.18232	0.957685	3626	3	-0.66261	0.7774	0.81616	0.999997	15221	1	-0.66261
CMSS1	4	0.080457	0.18236	0.957685	3627	3	-0.67997	0.91223	0.91203	0.999997	17122	0	-0.67997
AMMECR1	4	0.080543	0.18252	0.957685	3628	3	-1.0713	0.96114	0.96104	0.999997	18164	0	-1.0713
ZNF281	4	0.080553	0.18254	0.957685	3629	3	-0.66588	0.6089	0.74605	0.999997	13885	1	-0.66588
GRWD1	4	0.080564	0.18256	0.957685	3630	2	-0.26389	0.096222	0.21787	0.99291	4187	2	-0.26389
SNURF	4	0.080569	0.18257	0.957685	3631	2	-0.40332	0.39683	0.56693	0.999997	10550	2	-0.40332
C1orf101	4	0.080572	0.18257	0.957685	3632	3	-0.78421	0.29894	0.48529	0.999997	9041	1	-0.78421
SLC35E3	4	0.080612	0.18264	0.957685	3633	1	-0.1025	0.94852	0.94848	0.999997	17901	0	-0.1025
DNAJC27	4	0.080661	0.18273	0.957685	3634	2	0.088687	0.17594	0.34443	0.999997	6471	2	0.088687
SF3B2	4	0.080668	0.18274	0.957685	3635	3	-1.2864	0.13086	0.27449	0.999997	5212	1	-1.2864
AIFM3	4	0.080705	0.1828	0.957685	3636	2	-0.13957	0.12946	0.27227	0.999997	5171	2	-0.13957
FKBP7	4	0.080735	0.18286	0.957685	3637	3	-0.86067	0.41727	0.58411	0.999997	10853	1	-0.86067
DAD1	4	0.080802	0.18299	0.957685	3638	3	-1.7288	0.81102	0.83466	0.999997	15592	1	-1.7288
EFHC2	4	0.080831	0.18305	0.957685	3639	3	-0.72273	0.27226	0.46348	0.999997	8640	1	-0.72273
CD3D	4	0.080855	0.1831	0.957685	3640	2	-0.46577	0.67994	0.77207	0.999997	14364	1	-0.46577
TSPAN19	4	0.08086	0.18311	0.957685	3641	3	-0.96741	0.9417	0.94163	0.999997	17735	0	-0.96741
YTHDC1	4	0.080898	0.18316	0.957685	3642	3	-1.27	0.90194	0.90169	0.999997	16931	1	-1.27
SIK1	4	0.080927	0.18322	0.957685	3643	3	-0.65829	0.97623	0.97621	0.999997	18507	0	-0.65829
NDN	4	0.080946	0.18325	0.957685	3644	3	-0.48366	0.8845	0.88594	0.999997	16605	1	-0.48366
ZCCHC14	4	0.080953	0.18326	0.957685	3645	2	-0.028451	0.2217	0.41165	0.999997	7721	2	-0.028451
LPIN2	4	0.08096	0.18327	0.957685	3646	2	-0.12494	0.1245	0.2643	0.999997	5019	2	-0.12494
CD99	4	0.080965	0.18328	0.957685	3647	3	-0.51718	0.016807	0.054466	0.900885	1148	1	-0.51718
ATP10A	4	0.080975	0.18329	0.957685	3648	3	-0.67743	0.90763	0.90739	0.999997	17048	0	-0.67743
OR2W1	4	0.081001	0.18334	0.957685	3649	2	-0.14646	0.54873	0.69537	0.999997	12906	1	-0.14646
TTYH3	4	0.081004	0.18335	0.957685	3650	3	-0.78021	0.10688	0.23558	0.995936	4508	1	-0.78021
ST8SIA6	4	0.08105	0.18342	0.957685	3651	1	0.50497	0.090676	0.20852	0.99012	4023	3	0.50497
DNASE1L1	4	0.08105	0.18342	0.957685	3652	3	-1.1243	0.92582	0.92563	0.999997	17401	0	-1.1243
TMEM184C	4	0.081065	0.18345	0.957685	3653	2	-0.14438	0.14208	0.29232	0.999997	5547	2	-0.14438
CABP5	4	0.081098	0.18352	0.957685	3654	2	-0.15007	0.92925	0.92905	0.999997	17477	0	-0.15007
C6orf99	4	0.08111	0.18354	0.957685	3655	2	-0.13773	0.41217	0.57982	0.999997	10763	2	-0.13773
NRROS	4	0.08114	0.18361	0.957685	3656	2	-0.36255	0.098285	0.22128	0.993441	4250	1	-0.36255
ZFY	4	0.081147	0.18362	0.957685	3657	2	0.087661	0.483	0.63939	0.999997	11851	2	0.087661
ATXN3L	4	0.081155	0.18363	0.957685	3658	2	-0.37604	0.7255	0.79113	0.999997	14717	1	-0.37604
ARID1B	4	0.081196	0.18371	0.957685	3659	1	0.24054	0.50078	0.65434	0.999997	12155	2	0.24054
GAS2L2	4	0.0812	0.18372	0.957685	3660	3	-0.78367	0.70786	0.78349	0.999997	14590	1	-0.78367
ISCA1	4	0.081244	0.1838	0.957685	3661	2	-0.58498	0.86902	0.87349	0.999997	16362	1	-0.58498
CSNK1G2	4	0.081254	0.18381	0.957685	3662	3	-0.72943	0.86458	0.87009	0.999997	16285	1	-0.72943
GLT6D1	4	0.081283	0.18387	0.957685	3663	3	-0.73265	0.83628	0.85014	0.999997	15885	1	-0.73265
ZNF391	4	0.081293	0.18389	0.957685	3664	2	-0.78641	0.043086	0.12472	0.953069	2498	2	-0.78641
ZNF704	4	0.081342	0.18399	0.957685	3665	1	-0.042385	0.91432	0.9141	0.999997	17167	0	-0.042385
SOST	4	0.081366	0.18402	0.957685	3666	3	-0.94	0.78478	0.82002	0.999997	15295	1	-0.94
LILRB5	4	0.081369	0.18403	0.957685	3667	3	-0.67788	0.786	0.82068	0.999997	15313	1	-0.67788
AP2S1	4	0.081381	0.18405	0.957685	3668	2	-0.51355	0.32824	0.50961	0.999997	9489	2	-0.51355
AQP10	4	0.081398	0.18408	0.957685	3669	3	-1.2928	0.38104	0.55371	0.999997	10311	1	-1.2928
APEH	4	0.081439	0.18415	0.957685	3670	1	0.25214	0.24789	0.44347	0.999997	8294	2	0.25214
MLYCD	4	0.081466	0.18422	0.957685	3671	3	-0.82258	0.39046	0.56157	0.999997	10450	1	-0.82258
CDR2L	4	0.081486	0.18425	0.957685	3672	2	-0.83974	0.84313	0.85463	0.999997	15970	1	-0.83974
DUS1L	4	0.081487	0.18426	0.957685	3673	3	-0.47802	0.65774	0.76351	0.999997	14196	1	-0.47802
FAM204A	4	0.081533	0.18434	0.957685	3674	3	-1.0366	0.54403	0.69129	0.999997	12822	1	-1.0366
ALDH3B2	4	0.081536	0.18434	0.957685	3675	1	0.071398	0.23635	0.4325	0.999997	8088	1	0.071398
RBAK	4	0.081633	0.18451	0.957883	3676	1	0.61821	0.14147	0.29137	0.999997	5529	3	0.61821
FAM188B	4	0.081678	0.18459	0.957883	3677	3	-0.76035	0.94175	0.94168	0.999997	17737	0	-0.76035
C8orf76	4	0.081682	0.18459	0.957883	3678	3	-1.1552	0.63022	0.75354	0.999997	14014	1	-1.1552
OR6S1	4	0.081779	0.18477	0.957883	3679	2	-0.3741	0.54019	0.68793	0.999997	12760	2	-0.3741
ACY3	4	0.081784	0.18478	0.957883	3680	3	-1.0187	0.81894	0.83934	0.999997	15684	1	-1.0187
C10orf53	4	0.081828	0.18485	0.957883	3681	1	0.63245	0.066297	0.1664	0.97762	3247	2	0.63245
CAPN1	4	0.081852	0.18491	0.957883	3682	3	-1.4854	0.84829	0.85822	0.999997	16045	1	-1.4854
MSX1	4	0.081878	0.18495	0.957883	3683	2	-0.42417	0.70155	0.78082	0.999997	14555	1	-0.42417
OR10A6	4	0.081925	0.18503	0.957883	3684	2	0.1289	0.080629	0.19136	0.988494	3690	2	0.1289
SLC35A3	4	0.081939	0.18505	0.957883	3685	2	-0.44153	0.3148	0.49851	0.999997	9276	1	-0.44153
HNRNPH2	4	0.081948	0.18507	0.957883	3686	3	-0.62034	0.077739	0.18638	0.987585	3605	1	-0.62034
DCN	4	0.081977	0.18511	0.957883	3687	3	-0.64694	0.15787	0.31683	0.999997	5965	1	-0.64694
PCDH9	4	0.081987	0.18513	0.957883	3688	3	-0.6354	0.22891	0.42195	0.999997	7885	1	-0.6354
AKAP2	4	0.082029	0.1852	0.957883	3689	2	-0.14136	0.29073	0.47865	0.999997	8905	2	-0.14136
LIMD2	4	0.082045	0.18523	0.957883	3690	3	-0.94265	0.015015	0.049076	0.879822	1063	1	-0.94265
SHISA9	4	0.08207	0.18528	0.957883	3691	3	-1.357	0.36162	0.53745	0.999997	10011	1	-1.357
CCSER1	4	0.082142	0.18541	0.957883	3692	3	-0.85936	0.63221	0.75424	0.999997	14025	1	-0.85936
GFOD2	4	0.082168	0.18546	0.957883	3693	2	-0.46757	0.25184	0.44671	0.999997	8335	1	-0.46757
LOC102724279	4	0.08219	0.1855	0.957883	3694	3	-0.70351	0.942	0.94193	0.999997	17744	0	-0.70351
TYW1	4	0.082211	0.18553	0.957883	3695	2	-0.74431	0.90786	0.90761	0.999997	17050	0	-0.74431
CD19	4	0.082317	0.18572	0.957883	3696	2	-0.42677	0.64388	0.75841	0.999997	14092	1	-0.42677
ZSCAN29	4	0.08241	0.1859	0.957883	3697	1	1.1172	0.053661	0.14396	0.970611	2830	3	1.1172
TAS2R43	4	0.082443	0.18597	0.957883	3698	3	-0.51082	0.59372	0.73431	0.999997	13667	1	-0.51082
ZNF131	4	0.082453	0.18599	0.957883	3699	2	-0.98929	0.40895	0.57715	0.999997	10713	2	-0.98929
PRORY	4	0.082491	0.18606	0.957883	3700	3	-0.46854	0.9553	0.95521	0.999997	18044	0	-0.46854
CMYA5	4	0.082508	0.18609	0.957883	3701	2	-0.19996	0.32048	0.50312	0.999997	9360	2	-0.19996
PABPC1L2A	4	0.08253	0.18613	0.957883	3702	3	-0.94503	0.71772	0.78769	0.999997	14670	1	-0.94503
NELL1	4	0.082588	0.18624	0.957883	3703	3	-0.58028	0.49145	0.64653	0.999997	11999	1	-0.58028
RNF40	4	0.082605	0.18626	0.957883	3704	2	-0.025366	0.062335	0.15936	0.973576	3123	2	-0.025366
TARS	4	0.082653	0.18635	0.957883	3705	1	0.55548	0.10417	0.23106	0.994859	4428	3	0.55548
ETNPPL	4	0.082666	0.18637	0.957883	3706	3	-0.92071	0.6883	0.77542	0.999997	14435	1	-0.92071
DIAPH3	4	0.082734	0.18649	0.957883	3707	3	-0.46404	0.56224	0.70706	0.999997	13130	1	-0.46404
PSMA4	4	0.082744	0.1865	0.957883	3708	3	-0.78427	0.69218	0.77702	0.999997	14473	1	-0.78427
SH3BGRL2	4	0.08275	0.18651	0.957883	3709	1	0.66838	0.1705	0.33613	0.999997	6325	3	0.66838
PTGES3	4	0.082763	0.18654	0.957883	3710	3	-0.74025	0.95041	0.95035	0.999997	17943	0	-0.74025
SPINK4	4	0.082773	0.18656	0.957883	3711	3	-1.0598	0.64672	0.75945	0.999997	14111	1	-1.0598
PCDH1	4	0.082799	0.18661	0.957883	3712	1	-0.0031244	0.14103	0.29069	0.999997	5518	1	-0.0031244
C5orf34	4	0.082816	0.18664	0.957883	3713	2	0.046239	0.25511	0.44946	0.999997	8382	2	0.046239
RALA	4	0.082847	0.1867	0.957883	3714	1	0.10096	0.33405	0.5144	0.999997	9581	2	0.10096
LUC7L3	4	0.082851	0.18671	0.957883	3715	3	-0.67395	0.81849	0.83907	0.999997	15679	1	-0.67395
SLC7A11	4	0.082862	0.18673	0.957883	3716	2	-0.46889	0.32379	0.50589	0.999997	9413	2	-0.46889
DEFB106A	4	0.082892	0.1868	0.957883	3717	3	-1.0339	0.55106	0.69738	0.999997	12943	1	-1.0339
GPR85	4	0.082896	0.18681	0.957883	3718	2	-0.34095	0.5335	0.68214	0.999997	12657	2	-0.34095
INTS3	4	0.082945	0.18689	0.957883	3719	2	-0.080019	0.033477	0.10142	0.940544	2058	2	-0.080019
FAM53B	4	0.082953	0.18691	0.957883	3720	3	-0.52596	0.95373	0.95363	0.999997	18012	0	-0.52596
CCIN	4	0.082968	0.18693	0.957883	3721	3	-0.94294	0.46295	0.62253	0.999997	11534	1	-0.94294
ZNF180	4	0.082993	0.18697	0.957883	3722	3	-0.33604	0.54395	0.69121	0.999997	12820	1	-0.33604
SUPT4H1	4	0.083026	0.18704	0.957883	3723	3	-1.22	0.71918	0.78833	0.999997	14677	1	-1.22
ARSG	4	0.08309	0.18715	0.957883	3724	2	-0.36278	0.034284	0.10362	0.942054	2097	1	-0.36278
CPT2	4	0.083139	0.18725	0.957883	3725	2	-0.14924	0.49298	0.64781	0.999997	12024	2	-0.14924
OSBPL7	4	0.083153	0.18728	0.957883	3726	3	-0.44337	0.9466	0.94655	0.999997	17852	0	-0.44337
INSRR	4	0.083187	0.18734	0.957883	3727	1	1.5712	0.0056983	0.019822	0.823872	451	3	1.5712
TVP23A	4	0.083211	0.18737	0.957883	3728	2	-0.41731	0.23732	0.43385	0.999997	8111	2	-0.41731
ATP6V0C	4	0.083221	0.18739	0.957883	3729	3	-1.5167	0.97556	0.97551	0.999997	18495	0	-1.5167
ALG14	4	0.08325	0.18744	0.957883	3730	3	-0.56765	0.94599	0.94591	0.999997	17836	0	-0.56765
TMEM167B	4	0.08328	0.1875	0.957883	3731	3	-0.42185	0.94999	0.94993	0.999997	17932	0	-0.42185
NFE2	4	0.083284	0.1875	0.957883	3732	1	-0.057812	0.29712	0.48378	0.999997	9008	1	-0.057812
FAM181B	4	0.083377	0.18767	0.957883	3733	3	-0.70788	0.93582	0.9357	0.999997	17615	0	-0.70788
C17orf51	4	0.083381	0.18767	0.957883	3734	2	-0.26668	0.74574	0.80047	0.999997	14897	1	-0.26668
ST3GAL5	4	0.083397	0.1877	0.957883	3735	3	-0.87917	0.44732	0.60935	0.999997	11307	1	-0.87917
VWA8	4	0.083439	0.18777	0.957883	3736	2	-0.18496	0.19798	0.37721	0.999997	7078	2	-0.18496
CARS	4	0.083478	0.18784	0.957883	3737	1	0.16187	0.76384	0.80931	0.999997	15076	1	0.16187
TNS1	4	0.083484	0.18785	0.957883	3738	2	-0.35376	0.53953	0.68734	0.999997	12748	2	-0.35376
VOPP1	4	0.083504	0.18788	0.957883	3739	3	-1.1923	0.95308	0.95296	0.999997	17990	0	-1.1923
CWF19L1	4	0.083524	0.18791	0.957883	3740	3	-0.67312	0.84502	0.85595	0.999997	15997	1	-0.67312
GPR153	4	0.083576	0.18802	0.957883	3741	1	0.20015	0.21103	0.39636	0.999997	7447	2	0.20015
KRTAP29-1	4	0.083612	0.18809	0.957883	3742	3	-0.62108	0.92864	0.92844	0.999997	17463	0	-0.62108
KRT6A	4	0.083667	0.18819	0.957883	3743	2	-0.64935	0.59052	0.73147	0.999997	13615	1	-0.64935
DCANP1	4	0.083673	0.1882	0.957883	3744	2	-0.227	0.64641	0.75933	0.999997	14108	1	-0.227
ZFYVE9	4	0.08369	0.18822	0.957883	3745	3	-1.3175	0.51949	0.67018	0.999997	12430	1	-1.3175
MYLPF	4	0.083729	0.18829	0.957883	3746	3	-0.39093	0.61056	0.74664	0.999997	13897	1	-0.39093
AGTR1	4	0.083739	0.18831	0.957883	3747	3	-0.67484	0.6938	0.77769	0.999997	14488	1	-0.67484
WFIKKN2	4	0.083743	0.18831	0.957883	3748	2	-0.44948	0.00085448	0.0031167	0.575414	103	1	-0.44948
PCP2	4	0.083759	0.18833	0.957883	3749	3	-0.54169	0.91569	0.91549	0.999997	17203	0	-0.54169
SOX10	4	0.08377	0.18835	0.957883	3750	2	-0.13053	0.43353	0.59783	0.999997	11104	2	-0.13053
JARID2	4	0.083788	0.18839	0.957883	3751	3	-0.37708	0.95325	0.95313	0.999997	17998	0	-0.37708
SLC25A24	4	0.083808	0.18842	0.957883	3752	3	-0.51523	0.87489	0.87804	0.999997	16456	1	-0.51523
ANKRD33	4	0.083818	0.18844	0.957883	3753	3	-0.65803	0.91736	0.91718	0.999997	17235	0	-0.65803
ARL11	4	0.083819	0.18844	0.957883	3754	2	-0.56575	0.60074	0.74041	0.999997	13783	1	-0.56575
CCDC91	4	0.083886	0.18855	0.957998	3755	3	-0.76486	0.95233	0.95222	0.999997	17978	0	-0.76486
DPY19L1	4	0.083895	0.18857	0.957998	3756	2	-0.75531	0.56873	0.71261	0.999997	13255	2	-0.75531
PRAMEF15	4	0.083935	0.18865	0.957998	3757	3	-0.74385	0.18712	0.36115	0.999997	6787	1	-0.74385
CFI	4	0.084012	0.18878	0.957998	3758	1	0.26059	0.19762	0.37667	0.999997	7069	3	0.26059
TM2D1	4	0.084017	0.18879	0.957998	3759	2	-0.9612	0.48891	0.6444	0.999997	11965	2	-0.9612
CYP3A43	4	0.084061	0.18887	0.957998	3760	3	-0.8639	0.94558	0.94549	0.999997	17829	0	-0.8639
SLC25A38	4	0.084094	0.18893	0.957998	3761	2	-0.13608	0.08567	0.19998	0.989486	3843	2	-0.13608
PC	4	0.084102	0.18894	0.957998	3762	3	-1.0994	0.82886	0.8454	0.999997	15800	1	-1.0994
KIF5C	4	0.084122	0.18898	0.957998	3763	3	-0.59932	0.55441	0.70028	0.999997	13004	1	-0.59932
HSD17B13	4	0.084158	0.18904	0.957998	3764	2	0.027371	0.19574	0.37385	0.999997	7022	2	0.027371
COPS2	3	0.084185	0.17277	0.957685	3765	2	-3.5209	0.48687	0.60496	0.999997	11922	1	-3.5209
LDB2	4	0.084206	0.18913	0.957998	3766	1	0.083163	0.23888	0.43603	0.999997	8153	2	0.083163
AQP5	4	0.084249	0.18921	0.957998	3767	3	-1.3196	0.049684	0.13666	0.966384	2700	1	-1.3196
FAM65B	4	0.084255	0.18922	0.957998	3768	2	-0.34413	0.79421	0.82514	0.999997	15397	1	-0.34413
SLBP	4	0.084307	0.1893	0.957998	3769	2	-1.2849	0.91029	0.91006	0.999997	17087	0	-1.2849
IFNA21	4	0.084348	0.18937	0.957998	3770	3	-0.62869	0.2747	0.46549	0.999997	8681	1	-0.62869
COMMD1	4	0.084352	0.18938	0.957998	3771	2	-0.40159	0.45619	0.61688	0.999997	11434	1	-0.40159
MED16	4	0.0844	0.18946	0.957998	3772	2	-0.14038	0.76583	0.81031	0.999997	15091	1	-0.14038
LOC81691	4	0.084429	0.18951	0.957998	3773	3	-0.67221	0.94537	0.94526	0.999997	17817	0	-0.67221
KRTAP5-2	4	0.084436	0.18952	0.957998	3774	3	-0.4887	0.88982	0.89058	0.999997	16711	1	-0.4887
ST6GALNAC4	4	0.084497	0.18963	0.957998	3775	2	-0.6589	0.42524	0.59081	0.999997	10987	2	-0.6589
C8orf33	4	0.084535	0.1897	0.957998	3776	3	-0.62289	0.16481	0.32745	0.999997	6161	1	-0.62289
CDC42EP5	4	0.084582	0.18979	0.957998	3777	3	-0.6431	0.47574	0.63331	0.999997	11736	1	-0.6431
EFCAB3	4	0.084594	0.18981	0.957998	3778	3	-0.3247	0.95872	0.95868	0.999997	18118	0	-0.3247
TRMU	4	0.084653	0.18992	0.957998	3779	3	-0.71625	0.92202	0.92183	0.999997	17332	0	-0.71625
ATXN1	4	0.084673	0.18995	0.957998	3780	3	-0.44465	0.79833	0.82747	0.999997	15446	1	-0.44465
CD177	4	0.084742	0.19007	0.957998	3781	3	-0.52462	0.87445	0.8777	0.999997	16448	1	-0.52462
ANKMY2	4	0.084791	0.19015	0.957998	3782	3	-1.2271	0.91352	0.91331	0.999997	17156	0	-1.2271
ADAMTS8	4	0.08485	0.19026	0.957998	3783	3	-0.54523	0.41796	0.58469	0.999997	10863	1	-0.54523
MRTO4	4	0.084885	0.19032	0.957998	3784	3	-0.49611	0.5557	0.70142	0.999997	13030	1	-0.49611
PLD1	4	0.084888	0.19032	0.957998	3785	2	-1.251	0.66796	0.76738	0.999997	14277	1	-1.251
SLC6A15	4	0.08498	0.19051	0.957998	3786	2	-0.42081	0.46929	0.62787	0.999997	11642	2	-0.42081
ADGRB3	4	0.084982	0.19051	0.957998	3787	1	0.68319	0.064571	0.16337	0.975167	3197	3	0.68319
DOCK5	4	0.085011	0.19055	0.957998	3788	3	-0.48268	0.62165	0.75054	0.999997	13959	1	-0.48268
CDH23	4	0.085057	0.19063	0.957998	3789	2	-0.43537	0.0188	0.060345	0.900885	1269	2	-0.43537
UCN	4	0.085057	0.19063	0.957998	3790	3	-0.59606	0.48575	0.64172	0.999997	11905	1	-0.59606
UBXN2A	4	0.085079	0.19066	0.957998	3791	2	-0.20297	0.080953	0.19191	0.988494	3701	1	-0.20297
ANKRD20A2	4	0.085107	0.19071	0.957998	3792	3	-0.59039	0.84768	0.85778	0.999997	16034	1	-0.59039
B3GNT7	4	0.085118	0.19074	0.957998	3793	2	-0.34459	0.48936	0.64477	0.999997	11973	1	-0.34459
ETAA1	4	0.085166	0.19083	0.957998	3794	3	-1.0498	0.81763	0.83856	0.999997	15669	1	-1.0498
DACH1	4	0.085176	0.19084	0.957998	3795	2	-0.29217	0.021759	0.06896	0.9063	1450	1	-0.29217
CLEC4E	4	0.085176	0.19084	0.957998	3796	3	-1.1926	0.78135	0.81823	0.999997	15263	1	-1.1926
KRT79	4	0.08521	0.19091	0.957998	3797	2	-0.38854	0.19376	0.37093	0.999997	6961	1	-0.38854
