Gene	sgRNA	DMSO|beta	DMSO|z	DMSO|p-value	DMSO|fdr	DMSO|wald-p-value	DMSO|wald-fdr	osi|beta	osi|z	osi|p-value	osi|fdr	osi|wald-p-value	osi|wald-fdr
PARN	4	-0.1942	-1.051	0.080155	0.16154	0.29325	0.99926	-0.46151	-2.4961	0.039868	0.10209	0.012556	0.084207
PAWR	4	0.0083262	0.0050426	0.94062	0.96072	0.99598	0.99999	1.765	1.07	0	0	0.28464	0.51377
PAX1	4	0.15769	0.50908	0.20855	0.32961	0.6107	0.99926	0.13984	0.45149	0.61503	0.73528	0.65163	0.80801
PAX2	4	-0.078082	-0.2238	0.41103	0.54201	0.82291	0.99926	-0.75542	-2.1626	0.0016219	0.008847	0.030568	0.14007
PAX3	4	0.025469	0.050336	0.93413	0.95609	0.95985	0.99926	-0.32458	-0.64025	0.13525	0.2519	0.52201	0.72051
PAX4	4	-0.37324	-2.0196	0.0049704	0.021532	0.043428	0.76842	0.14549	0.78813	0.59834	0.72161	0.43062	0.64837
PAX5	4	-0.3298	-0.77656	0.01015	0.036709	0.43742	0.99926	-0.15623	-0.36844	0.42803	0.57479	0.71254	0.84752
PAX6	4	-0.1615	-0.43042	0.13232	0.23517	0.66689	0.99926	-1.1001	-2.9157	0	0	0.0035486	0.042075
PAX7	4	0.083181	0.37854	0.55653	0.67195	0.70503	0.99926	-0.048479	-0.22062	0.74572	0.83445	0.82539	0.91283
PDCL	4	-0.85335	-2.1804	0	0	0.029224	0.6985	-1.1501	-2.9338	0	0	0.0033488	0.040635
PAX9	4	-0.3949	-1.0641	0.0035578	0.016924	0.28729	0.99926	-0.63589	-1.7128	0.0072725	0.028773	0.086751	0.26319
PBX1	4	0.53209	0.91207	0.00010464	0.0011105	0.36173	0.99926	-0.01542	-0.026277	0.8602	0.91091	0.97904	0.98982
PBX2	4	-0.29815	-1.8826	0.016638	0.052063	0.059748	0.81881	-0.16963	-1.0714	0.39429	0.54345	0.28401	0.51307
PBX3	4	-0.0029907	-0.013292	0.8625	0.90797	0.98939	0.99926	0.095396	0.42401	0.75619	0.84135	0.67156	0.82147
PC	4	-0.22476	-0.69117	0.050542	0.11563	0.48946	0.99926	-0.89594	-2.74	0.00015696	0.0012443	0.0061441	0.05592
PCBD1	4	-0.37814	-1.2732	0.0046042	0.020333	0.20295	0.97945	0.2153	0.72611	0.39999	0.54913	0.46777	0.67814
PCBP1	4	-1.5664	-2.6188	0	0	0.0088251	0.52026	-1.1831	-2.0088	0	0	0.04456	0.17576
PCBP2	4	-0.99695	-2.5211	0	0	0.0117	0.56128	-1.229	-3.1066	0	0	0.0018923	0.029718
PCCA	4	0.097917	0.39822	0.46994	0.59677	0.69047	0.99926	-0.23151	-0.94119	0.26741	0.41411	0.34661	0.57476
PCCB	4	-0.3495	-0.77264	0.0079004	0.03093	0.43974	0.99926	-0.084282	-0.18679	0.63465	0.75146	0.85182	0.92684
PCDH1	4	-0.011326	-0.044881	0.80589	0.86836	0.9642	0.99926	-0.14226	-0.56377	0.46497	0.60795	0.57291	0.7557
PCDHGC3	4	-0.32453	-0.96509	0.010883	0.038256	0.3345	0.99926	-0.70907	-2.1013	0.0029823	0.014372	0.035614	0.15365
PCDH7	4	0.042523	0.072328	0.81902	0.8788	0.94234	0.99926	-0.10085	-0.17155	0.58149	0.70756	0.86379	0.93355
PCDH8	4	-0.25843	-0.92023	0.030869	0.081933	0.35745	0.99926	-0.37081	-1.3205	0.09381	0.19334	0.18665	0.40785
PCDH9	4	-0.053688	-0.18562	0.54078	0.65902	0.85275	0.99926	-0.30331	-1.048	0.15722	0.2816	0.29464	0.52405
SERPINA5	4	0.17693	0.67559	0.15639	0.26633	0.4993	0.99926	-0.055684	-0.21254	0.72469	0.82007	0.83169	0.91662
PCK1	4	0.041789	0.1336	0.82337	0.88182	0.89372	0.99926	0.10494	0.3355	0.725	0.8201	0.73725	0.86268
PCK2	4	0.065783	0.23936	0.66379	0.7612	0.81082	0.99926	-0.35902	-1.3032	0.10328	0.20772	0.19252	0.41499
PCM1	4	-0.25577	-0.9904	0.032125	0.084133	0.32198	0.99926	-0.37264	-1.443	0.092921	0.19204	0.14901	0.36035
PCMT1	4	-0.050907	-0.2199	0.55564	0.67109	0.82595	0.99926	-0.29729	-1.284	0.16481	0.29113	0.19913	0.42289
PCNA	4	-0.91924	-1.5391	0	0	0.12377	0.92915	-1.7604	-2.8977	0	0	0.0037589	0.04316
PCNT	4	-0.4888	-1.4652	0.00094177	0.006591	0.14287	0.93893	0.18508	0.55886	0.47978	0.61993	0.57626	0.75776
PCOLCE	4	0.18568	0.69874	0.13629	0.24027	0.48471	0.99926	0.05523	0.20785	0.8896	0.9304	0.83534	0.91837
CHMP1A	4	-0.2321	-1.0723	0.045362	0.10688	0.28357	0.99926	-0.14562	-0.67288	0.45534	0.59905	0.50103	0.70457
PCP4	4	-0.1756	-0.88877	0.10726	0.20155	0.37413	0.99926	-0.096771	-0.4899	0.59394	0.71794	0.6242	0.78861
PCSK1	4	-0.0027514	-0.012619	0.86412	0.90912	0.98993	0.99926	-0.1825	-0.83701	0.36609	0.51619	0.40259	0.62411
PCSK5	4	-0.079606	-0.3305	0.40423	0.53545	0.74102	0.99926	-0.13896	-0.57699	0.47324	0.61476	0.56394	0.7493
PCSK2	4	0.13466	0.31517	0.29163	0.42304	0.75264	0.99926	-0.02552	-0.059714	0.82546	0.8878	0.95238	0.97739
CDK16	4	-0.34229	-1.4061	0.0083713	0.031866	0.15971	0.94798	-0.54971	-2.2581	0.01601	0.051094	0.023942	0.1219
CDK17	4	0.23743	0.49569	0.055355	0.12328	0.62011	0.99926	0.62451	1.3071	0.0095746	0.035118	0.19117	0.41385
CDK18	4	-0.25147	-0.75006	0.034322	0.088208	0.45322	0.99926	0.08746	0.26115	0.78109	0.85804	0.79398	0.8969
PCYT1A	4	-0.50513	-1.1905	0.00078481	0.0057759	0.23384	0.98834	-0.068025	-0.16203	0.68482	0.79083	0.87128	0.93671
PDC	4	-0.17381	-0.57503	0.1104	0.20597	0.56527	0.99926	-0.26529	-0.8779	0.20855	0.34487	0.38	0.60479
PDCD1	4	-0.29819	-1.0452	0.016586	0.051959	0.29594	0.99926	-0.035433	-0.12429	0.79067	0.86503	0.90108	0.95043
PDCD2	4	-0.89778	-1.9536	0	0	0.050752	0.7964	-1.6494	-3.5651	0	0	0.00036366	0.011805
PDE1A	4	-0.26241	-0.6396	0.029299	0.07923	0.52244	0.99926	0.22452	0.54817	0.37796	0.52768	0.58358	0.76271
PDE1C	4	0.27187	1.0714	0.030555	0.081567	0.28398	0.99926	0.077531	0.30552	0.81557	0.88083	0.75997	0.87687
PDE2A	4	-0.070168	-0.23132	0.451	0.57953	0.81707	0.99926	-0.67171	-2.2071	0.0043426	0.018898	0.02731	0.13102
PDE3A	4	0.12024	0.31461	0.35437	0.48615	0.75306	0.99926	0.26056	0.68341	0.29791	0.44718	0.49435	0.69932
PDE3B	4	-0.32624	-0.92086	0.010726	0.037956	0.35712	0.99926	-0.37964	-1.0724	0.087846	0.18495	0.28354	0.51268
PDE4A	4	-0.2121	-0.71157	0.060849	0.13167	0.47673	0.99926	-0.73017	-2.4487	0.0020928	0.010658	0.014337	0.091222
PDE4B	4	0.13919	0.61736	0.27458	0.40541	0.537	0.99926	0.27118	1.2029	0.27667	0.42419	0.22903	0.45626
PDE4C	4	-0.5345	-1.3262	0.00036624	0.0030211	0.18478	0.97067	-0.91578	-2.265	5.232e-05	0.00043422	0.02351	0.12099
PDE4D	4	0.026093	0.086076	0.92932	0.95336	0.93141	0.99926	-0.39675	-1.3057	0.074975	0.16449	0.19165	0.41428
PDE6A	4	0.11935	0.38065	0.35792	0.4898	0.70347	0.99926	-0.45898	-1.463	0.041281	0.10499	0.14347	0.35312
PDE6C	4	-0.073928	-0.25744	0.43206	0.56218	0.79684	0.99926	-0.11542	-0.40196	0.54005	0.67332	0.68771	0.83252
PDE6D	4	-0.2587	-0.85926	0.030764	0.081758	0.3902	0.99926	-0.26748	-0.88886	0.20515	0.34075	0.37408	0.59861
PDE6G	4	-0.21635	-0.57039	0.056925	0.12555	0.56842	0.99926	-0.72099	-1.8987	0.0023544	0.011652	0.057601	0.20507
PDE6H	4	-0.264	-0.89492	0.028044	0.076364	0.37083	0.99926	0.19791	0.67133	0.44519	0.58984	0.50201	0.70509
PDE7A	4	-0.22269	-0.76446	0.052111	0.11826	0.44459	0.99926	-0.53648	-1.8392	0.018417	0.056719	0.065879	0.22172
PDE8A	4	-0.014508	-0.057952	0.78434	0.85288	0.95379	0.99926	-0.13091	-0.52295	0.49417	0.63207	0.60101	0.77427
PDE9A	4	0.096255	0.31365	0.4802	0.60619	0.75378	0.99926	0.49345	1.6092	0.039816	0.102	0.10758	0.29958
PDE1B	4	0.069874	0.23964	0.63993	0.74195	0.81061	0.99926	-0.65672	-2.2469	0.005389	0.022494	0.024646	0.12367
PDGFA	4	-0.46807	-1.0845	0.0013603	0.008719	0.27813	0.99926	-1.0503	-2.4202	0	0	0.015513	0.095647
PDGFB	4	-0.54823	-1.3035	0.0002616	0.0022371	0.19239	0.97668	-0.62833	-1.4949	0.0077957	0.030285	0.13495	0.34154
PDGFRA	4	-0.39354	-1.3191	0.0036101	0.017126	0.18715	0.97313	-0.65863	-2.2069	0.0051274	0.021501	0.027323	0.13104
PDGFRL	4	-0.018094	-0.059956	0.76194	0.83601	0.95219	0.99926	-0.57654	-1.909	0.012609	0.04299	0.056268	0.20272
PDE6B	4	-0.0070441	-0.028659	0.83582	0.88977	0.97714	0.99926	0.14155	0.57614	0.61021	0.73104	0.56452	0.74955
PDGFRB	4	-0.7621	-2.2878	0	0	0.022146	0.64624	-0.7034	-2.1169	0.0032962	0.015582	0.034265	0.15045
PDHA1	4	-0.23845	-0.83982	0.041961	0.10156	0.40101	0.99926	-0.58721	-2.0646	0.011458	0.040073	0.038962	0.16292
PDHA2	4	-0.46773	-1.9727	0.0013603	0.008719	0.048534	0.78819	-0.10901	-0.45985	0.55836	0.68923	0.64563	0.80416
PDHB	4	-0.11632	-0.59751	0.25407	0.38262	0.55016	0.99926	-0.20559	-1.0561	0.31685	0.46588	0.2909	0.52011
PDK1	4	-0.034088	-0.078975	0.65992	0.75857	0.93705	0.99926	-0.59734	-1.3759	0.010255	0.036995	0.16885	0.38642
PDK2	4	-0.18742	-1.0956	0.088997	0.1746	0.27324	0.99926	-0.065339	-0.38201	0.69351	0.79773	0.70246	0.84086
PDK3	4	-0.076009	-0.32589	0.42113	0.55143	0.74451	0.99926	0.099468	0.42722	0.74279	0.83234	0.66922	0.81939
PDK4	4	-0.32049	-1.0659	0.011458	0.039652	0.28647	0.99926	-0.12881	-0.42867	0.49919	0.63662	0.66816	0.81852
ENPP1	4	0.2103	0.56708	0.088526	0.17391	0.57066	0.99926	-1.0713	-2.8299	0	0	0.0046561	0.048225
ENPP2	4	-0.49826	-1.1276	0.00083713	0.006135	0.2595	0.99926	-0.53518	-1.2127	0.018574	0.057019	0.22523	0.45228
ENPP3	4	-0.17448	-0.64455	0.10909	0.20417	0.51922	0.99926	-0.20032	-0.74049	0.32774	0.47697	0.459	0.67079
PDPK1	4	-0.58668	-1.1655	0.00015696	0.0014837	0.24384	0.99128	-1.2901	-2.5534	0	0	0.010669	0.076694
SLC26A4	4	-0.43049	-1.2372	0.0024067	0.012912	0.216	0.98571	-1.0548	-3.0035	0	0	0.0026688	0.035997
PDYN	4	0.017064	0.073745	0.99697	0.99796	0.94121	0.99926	-0.19143	-0.82713	0.34756	0.49757	0.40816	0.62852
PDZK1	4	0.29494	0.4843	0.017998	0.055181	0.62817	0.99926	0.69292	1.1429	0.004238	0.018489	0.25307	0.4821
PECAM1	4	-0.14726	-0.51154	0.1647	0.27689	0.60897	0.99926	-0.81535	-2.8317	0.00083713	0.0053637	0.00463	0.048119
SERPINF1	4	-0.052332	-0.26268	0.54759	0.66409	0.7928	0.99926	-0.40955	-2.0557	0.066499	0.14995	0.039808	0.16469
PEG3	4	-0.19002	-0.72316	0.085962	0.17021	0.46958	0.99926	-0.73521	-2.7966	0.0019359	0.010071	0.0051642	0.051137
PENK	4	-0.25048	-1.1148	0.034845	0.089145	0.26493	0.99926	-0.31412	-1.3981	0.14571	0.26618	0.16209	0.37796
PEPD	4	0.024502	0.13028	0.9424	0.96172	0.89634	0.99926	0.25657	1.3644	0.30607	0.45539	0.17243	0.39089
PER1	4	-0.43071	-1.7855	0.0024067	0.012912	0.074185	0.84252	-0.37718	-1.5637	0.08952	0.18718	0.11789	0.31643
GATB	4	-0.87033	-1.8646	0	0	0.062242	0.82213	-1.1659	-2.4967	0	0	0.012536	0.084127
PEX1	4	-0.32829	-0.79637	0.010307	0.037016	0.42582	0.99926	-1.7536	-4.2174	0	0	2.471e-05	0.0026917
PEX6	4	-0.6249	-2.2132	0.00010464	0.0011105	0.026884	0.68264	-0.53328	-1.8927	0.019045	0.058082	0.058401	0.20671
PEX7	4	-0.40699	-1.6843	0.0029299	0.014618	0.092116	0.88361	-0.84446	-3.4864	0.0005232	0.0035932	0.00048956	0.013883
PEX10	4	-0.40447	-1.7706	0.0031392	0.015536	0.076621	0.84596	-0.43008	-1.8832	0.055355	0.13136	0.05967	0.20934
PEX12	4	-0.67067	-1.4123	5.232e-05	0.00061387	0.15786	0.94715	-0.11276	-0.23903	0.54764	0.68003	0.81108	0.90626
PEX13	4	-0.68017	-2.2662	5.232e-05	0.00061387	0.023441	0.65724	-0.27242	-0.90837	0.19835	0.33307	0.36368	0.58972
PEX14	4	-0.30085	-1.0716	0.015958	0.050513	0.28389	0.99926	0.26639	0.94938	0.28598	0.43488	0.34243	0.5703
PF4	4	-0.0083436	-0.04151	0.82729	0.88471	0.96689	0.99926	-0.22574	-1.1231	0.27683	0.42437	0.26142	0.48975
PF4V1	4	-0.069426	-0.25334	0.45545	0.58384	0.80001	0.99926	-0.1947	-0.71051	0.34055	0.49043	0.47739	0.68583
PFAS	4	-0.8001	-1.5773	0	0	0.11473	0.91887	-0.24172	-0.48144	0.24857	0.39187	0.6302	0.79259
CFP	4	-0.5013	-1.8523	0.00078481	0.0057759	0.063988	0.82755	-0.12931	-0.47924	0.49804	0.63557	0.63176	0.79363
PFDN1	4	-0.96753	-2.4786	0	0	0.013191	0.58013	-0.89503	-2.295	0.00015696	0.0012443	0.021731	0.11579
PFDN2	4	-1.3467	-3.4992	0	0	0.00046663	0.27296	-0.85875	-2.2494	0.00041856	0.0029575	0.024486	0.12322
PFDN4	4	-0.22352	-0.65167	0.051431	0.11709	0.51461	0.99926	-0.65345	-1.9022	0.0058599	0.024232	0.05714	0.20434
PFDN5	4	-1.0852	-2.2906	0	0	0.021985	0.64517	-1.7909	-3.7126	0	0	0.00020517	0.008488
ATP8B1	4	-0.29813	-0.74645	0.016638	0.052063	0.4554	0.99926	0.1721	0.43164	0.5164	0.65243	0.666	0.81703
PFKFB1	4	-0.1344	-0.87976	0.19735	0.31583	0.37899	0.99926	0.06173	0.40414	0.86946	0.91741	0.68611	0.8314
PFKFB2	4	-0.29252	-0.96818	0.017998	0.055181	0.33295	0.99926	0.11137	0.36904	0.70486	0.80618	0.71209	0.8473
PFKFB3	4	-0.43672	-1.5112	0.0021975	0.012522	0.13075	0.93177	-0.14977	-0.52025	0.44415	0.58874	0.60289	0.77518
PFKFB4	4	-0.1709	-0.28162	0.11448	0.21118	0.77823	0.99926	0.45345	0.74746	0.059645	0.13897	0.45478	0.66699
PFKL	4	0.051417	0.11241	0.75697	0.83255	0.91049	0.99926	0.066544	0.14586	0.8523	0.90561	0.88403	0.94241
VIT	4	-0.49499	-1.6294	0.00088945	0.0063886	0.10323	0.90422	-0.08287	-0.27332	0.63815	0.75422	0.78461	0.89236
PFKM	4	-0.086801	-0.29453	0.37127	0.50319	0.76835	0.99926	-0.47873	-1.6228	0.034008	0.090731	0.10464	0.29467
PFKP	4	-0.12284	-0.49299	0.23272	0.35822	0.62202	0.99926	0.34621	1.3904	0.15728	0.28167	0.16441	0.38101
PFN1	4	-0.62066	-1.512	0.00010464	0.0011105	0.13052	0.93155	-1.1085	-2.6978	0	0	0.0069806	0.059924
PFN2	4	0.15541	0.86121	0.2153	0.33768	0.38912	0.99926	-0.19541	-1.0828	0.33925	0.48917	0.27892	0.50795
CDK14	4	0.059986	0.40099	0.70167	0.79163	0.68843	0.99926	0.052716	0.3524	0.89897	0.93661	0.72454	0.85513
PGA5	4	0.03746	0.13512	0.8535	0.90232	0.89252	0.99926	-0.2781	-1.0029	0.19045	0.3237	0.31589	0.54525
PGAM1	4	-1.0397	-2.8225	0	0	0.0047654	0.4729	-1.3137	-3.5638	0	0	0.00036556	0.011822
PGAM2	4	0.13761	0.60423	0.28059	0.41146	0.54569	0.99926	-0.48953	-2.1481	0.030189	0.082748	0.031703	0.1434
PGC	4	-0.029239	-0.11963	0.68843	0.7814	0.90478	0.99926	-0.16937	-0.69298	0.39481	0.54386	0.48832	0.69439
PGD	4	-0.95859	-2.1655	0	0	0.030351	0.70841	-2.1823	-4.8943	0	0	9.868e-07	0.00040129
PGF	4	0.11737	0.52033	0.36813	0.50018	0.60283	0.99926	-0.15142	-0.67128	0.44022	0.58524	0.50204	0.70509
PGGT1B	4	-0.76661	-1.6823	0	0	0.092512	0.88361	-2.0208	-4.3048	0	0	1.6712e-05	0.0020475
PGK1	4	-1.0258	-2.6528	0	0	0.0079837	0.50809	-1.4471	-3.7382	0	0	0.00018535	0.0080332
PGK2	4	-0.034161	-0.095266	0.65929	0.75805	0.9241	0.99926	-0.13445	-0.37517	0.48491	0.62461	0.70754	0.8444
PGM1	4	-0.065348	-0.22033	0.47774	0.60382	0.82561	0.99926	0.10393	0.35041	0.72783	0.82226	0.72603	0.85625
PGM3	4	-1.6784	-2.743	0	0	0.0060883	0.50355	-1.9908	-3.2305	0	0	0.0012356	0.023806
PGM5	4	-0.56614	-1.8663	0.00015696	0.0014837	0.061994	0.82207	-0.47902	-1.5811	0.034008	0.090731	0.11385	0.3098
PGR	4	-0.05646	-0.14034	0.52556	0.64581	0.88839	0.99926	-0.63331	-1.5621	0.0074818	0.029351	0.11827	0.317
ABCB1	4	-0.45661	-1.227	0.0015173	0.0093368	0.21981	0.98571	-1.3939	-3.6911	0	0	0.00022325	0.0088527
ABCB4	4	-0.30977	-0.77752	0.014127	0.046528	0.43685	0.99926	-1.2808	-3.1962	0	0	0.0013924	0.025467
PHB	4	-1.337	-2.7673	0	0	0.0056523	0.4999	-1.7207	-3.5249	0	0	0.00042367	0.012651
SLC25A3	4	-0.88342	-2.303	0	0	0.021279	0.64517	-0.70672	-1.8429	0.0032439	0.015488	0.065349	0.22071
PHEX	4	-0.24952	-0.81592	0.035212	0.089602	0.41455	0.99926	0.04699	0.15428	0.9188	0.94976	0.87739	0.93931
PHF1	4	0.0058689	0.024368	0.92466	0.95037	0.98056	0.99926	-0.59873	-2.4834	0.010098	0.036615	0.013013	0.086222
PHF2	4	-0.28709	-0.79559	0.019777	0.059183	0.42627	0.99926	0.21336	0.59137	0.40449	0.55312	0.55427	0.74278
PHKA1	4	-0.098425	-0.33453	0.32046	0.45196	0.73798	0.99926	0.54921	1.8673	0.022655	0.066924	0.061861	0.21354
PHKA2	4	-0.20132	-0.61242	0.07215	0.14921	0.54026	0.99926	-0.15304	-0.46621	0.43588	0.58145	0.64107	0.80057
PHKB	4	-0.011512	-0.033273	0.8039	0.86681	0.97346	0.99926	-0.64591	-1.8636	0.0062261	0.025335	0.062381	0.21457
PHKG1	4	-0.15547	-0.55184	0.14524	0.25257	0.58106	0.99926	-0.40593	-1.4406	0.068383	0.15315	0.14969	0.36143
PHKG2	4	-0.098485	-0.41512	0.3202	0.45169	0.67806	0.99926	0.010076	0.042482	0.95155	0.97065	0.96611	0.98411
PHYH	4	-0.20516	-0.29444	0.067807	0.14245	0.76842	0.99926	0.43105	0.62812	0.074661	0.16399	0.52992	0.72636
SERPINA1	4	0.021672	0.047507	0.96385	0.97662	0.96211	0.99926	0.57743	1.2675	0.016481	0.052213	0.20496	0.42948
PI3	4	-0.13591	-0.56267	0.19332	0.31097	0.57366	0.99926	-0.087881	-0.36392	0.62246	0.74092	0.71592	0.84926
SERPINA4	4	0.0045686	0.025158	0.91555	0.94431	0.97993	0.99926	-0.16522	-0.90986	0.40512	0.55368	0.3629	0.5891
SERPINB5	4	0.16662	0.449	0.18412	0.30049	0.65343	0.99926	-1.0853	-2.8819	0	0	0.0039535	0.044292
SERPINB6	4	0.18474	0.51993	0.13823	0.24296	0.60311	0.99926	0.28904	0.81373	0.2436	0.38623	0.4158	0.63563
SERPINE2	4	-0.11646	-0.39277	0.25365	0.38242	0.69449	0.99926	-0.10272	-0.34656	0.57626	0.70337	0.72892	0.85835
SERPINB8	4	-0.095534	-0.35073	0.33333	0.46527	0.72579	0.99926	0.18955	0.69689	0.46754	0.61013	0.48587	0.69244
SERPINB9	4	-0.26093	-0.92261	0.030084	0.080736	0.35621	0.99926	-0.4424	-1.5643	0.049338	0.12051	0.11775	0.31619
SERPINB10	4	-0.17188	-0.68964	0.1128	0.20879	0.49042	0.99926	0.031685	0.12727	0.97138	0.98248	0.89873	0.94977
SERPINI1	4	-0.28072	-0.61773	0.021713	0.063349	0.53676	0.99926	-0.38772	-0.85349	0.081097	0.17414	0.39339	0.61605
SERPINB13	4	-0.64889	-1.8544	5.232e-05	0.00061387	0.063687	0.82755	-1.3429	-3.8084	0	0	0.00013985	0.0069066
SERPINI2	4	-0.54697	-2.14	0.0002616	0.0022371	0.032355	0.72404	0.094279	0.36933	0.7598	0.84329	0.71188	0.84721
PIGA	4	-0.19601	-0.73816	0.078167	0.1586	0.46042	0.99926	-0.22588	-0.85089	0.27636	0.42381	0.39483	0.61755
PIGC	4	-0.18125	-0.74367	0.097944	0.18801	0.45708	0.99926	-0.80971	-3.322	0.00099409	0.0062521	0.00089375	0.019771
PIGF	4	-0.20377	-0.57009	0.069011	0.14425	0.56862	0.99926	0.29675	0.83262	0.23037	0.37012	0.40506	0.62578
PIGH	4	-0.13146	-0.67816	0.20708	0.32795	0.49767	0.99926	-0.28191	-1.4543	0.18427	0.31613	0.14587	0.35561
PIGR	4	-0.117	-0.43413	0.25187	0.38028	0.66419	0.99926	-0.63936	-2.3707	0.0070109	0.028028	0.017755	0.1034
PIK3C2A	4	-0.1892	-0.6543	0.087009	0.17189	0.51292	0.99926	-0.53759	-1.8578	0.018155	0.056131	0.063195	0.21615
PIK3C2B	4	0.14446	0.96718	0.25422	0.38272	0.33345	0.99926	0.092839	0.62159	0.76503	0.84707	0.53421	0.72911
PIK3C2G	4	-0.26505	-0.57864	0.02773	0.075758	0.56283	0.99926	0.49142	1.079	0.040758	0.10402	0.2806	0.5098
PIK3C3	4	-1.3275	-3.0395	0	0	0.0023698	0.3873	-1.8354	-4.1917	0	0	2.7689e-05	0.0027853
PIK3CA	4	-0.019898	-0.041925	0.75017	0.82764	0.96656	0.99926	0.66162	1.4017	0.0060692	0.024871	0.161	0.37657
PIK3CB	4	-0.088527	-0.36109	0.36415	0.4958	0.71804	0.99926	-0.77449	-3.159	0.0014127	0.0081448	0.0015833	0.027287
PIM1	4	-0.015144	-0.076625	0.78004	0.84952	0.93892	0.99926	-0.17175	-0.86905	0.38932	0.53862	0.38482	0.60903
PIK3CD	4	-0.058562	-0.17368	0.51426	0.6361	0.86212	0.99926	0.043896	0.13019	0.92947	0.95608	0.89642	0.94879
PIK3CG	4	-0.13626	-0.4232	0.19254	0.31016	0.67215	0.99926	-0.60072	-1.858	0.0098362	0.03583	0.06317	0.21615
PIK3R1	4	-0.064804	-0.16185	0.48051	0.60631	0.87142	0.99926	0.3598	0.89969	0.14043	0.25897	0.36829	0.59349
PIK3R2	4	-0.17342	-0.57384	0.11108	0.20686	0.56608	0.99926	-0.707	-2.3311	0.0032439	0.015488	0.01975	0.10932
PI4KA	4	-0.97233	-2.2052	0	0	0.027437	0.68597	-0.83712	-1.9056	0.00057552	0.0038952	0.056705	0.20361
PI4KB	4	-0.10191	-0.38615	0.30811	0.43997	0.69939	0.99926	-0.29258	-1.1085	0.16988	0.29797	0.26762	0.49628
PIN1	4	-0.25255	-1.0546	0.033694	0.087015	0.29163	0.99926	-0.15125	-0.63188	0.44085	0.58575	0.52746	0.72458
PIN4	4	-0.25966	-1.2431	0.030555	0.081567	0.21383	0.98473	-0.18988	-0.9096	0.35138	0.50153	0.36304	0.58923
PIP	4	-0.031445	-0.097447	0.67415	0.76878	0.92237	0.99926	-0.15492	-0.48013	0.43164	0.57799	0.63113	0.79329
PIP4K2A	4	-0.3669	-1.3081	0.0054413	0.023004	0.19083	0.97593	-0.32958	-1.1752	0.12965	0.24368	0.23993	0.4672
PITPNA	4	0.2022	0.52037	0.10161	0.1935	0.60281	0.99926	-1.2222	-3.0673	0	0	0.0021603	0.032032
PITX1	4	-0.16533	-0.515	0.12452	0.22478	0.60656	0.99926	0.094535	0.29484	0.75896	0.84298	0.76812	0.88249
PITX2	4	-0.23116	-1.1928	0.046199	0.10845	0.23296	0.98834	-0.58692	-3.0284	0.011458	0.040073	0.0024588	0.03436
PITX3	4	-0.2926	-0.86835	0.017998	0.055181	0.3852	0.99926	-0.76412	-2.2639	0.0016219	0.008847	0.023582	0.12126
PKD1	4	-0.16761	-0.35143	0.11992	0.21841	0.72526	0.99926	-0.2279	-0.47837	0.27322	0.42059	0.63239	0.79419
PKD2	4	0.070627	0.32945	0.63496	0.73775	0.74182	0.99926	-0.17638	-0.82253	0.37938	0.52892	0.41077	0.63108
PKLR	4	-0.49216	-1.8269	0.00094177	0.006591	0.067707	0.83455	-0.38064	-1.4155	0.086957	0.18363	0.15693	0.37077
PKHD1	4	-0.39747	-1.0799	0.0035055	0.016758	0.28017	0.99926	-1.635	-4.3823	0	0	1.1743e-05	0.0016331
PKM	4	-0.43659	-0.78661	0.0021975	0.012522	0.43151	0.99926	-1.3465	-2.3901	0	0	0.016845	0.10053
PKNOX1	4	-0.34246	-1.0909	0.0083713	0.031866	0.27532	0.99926	-0.34689	-1.107	0.11422	0.22344	0.2683	0.4971
PKP1	4	-0.31453	-1.3652	0.012871	0.043287	0.17219	0.95724	-0.14775	-0.64151	0.44959	0.59401	0.52119	0.71985
PKP2	4	-0.48808	-1.1609	0.00094177	0.006591	0.24569	0.99155	-0.9205	-2.1873	5.232e-05	0.00043422	0.028722	0.13475
PLA2G1B	4	-0.21884	-0.66143	0.055093	0.12293	0.50834	0.99926	-0.47534	-1.4361	0.035159	0.093243	0.15096	0.36307
PLA2G2A	4	-0.22446	-0.72298	0.050803	0.11611	0.46969	0.99926	-0.90157	-2.89	0.00015696	0.0012443	0.0038522	0.043774
PLA2G4A	4	-0.26046	-0.86413	0.030241	0.080975	0.38752	0.99926	0.14458	0.47991	0.60121	0.7243	0.63129	0.79339
PLA2G5	4	0.031603	0.08132	0.89248	0.92807	0.93519	0.99926	-0.56107	-1.4338	0.014388	0.047075	0.15162	0.36391
PLAG1	4	-0.12163	-0.39821	0.23597	0.3619	0.69048	0.99926	-0.10336	-0.33876	0.57422	0.70175	0.73479	0.86175
PLAGL1	4	-0.0049883	-0.016314	0.84995	0.90015	0.98698	0.99926	-1.0185	-3.3142	0	0	0.00091906	0.020115
PLAGL2	4	-0.55547	-1.7457	0.0002616	0.0022371	0.080868	0.85968	-0.7524	-2.3645	0.0016219	0.008847	0.018056	0.10432
PLAT	4	-0.11711	-0.35664	0.25129	0.3795	0.72136	0.99926	-0.48245	-1.4684	0.03291	0.088717	0.142	0.35123
PLAU	4	-0.35957	-1.0808	0.0063831	0.026124	0.27981	0.99926	-1.0218	-3.0683	0	0	0.0021531	0.03195
